,Step,Time,xj,yj,zj,Jx,Jy,Jz
0,0,0.0,0.0,0.0025,0,0,0,0.0
1,1,0.1,0.0,0.0025,0,0,0,-4.748750294895465e-09
2,2,0.2,0.0,0.0025,0,0,0,-9.730921054748748e-09
3,3,0.3,0.0,0.0025,0,0,0,-1.4972263023988272e-08
4,4,0.4,0.0,0.0025,0,0,0,-2.0492700715486673e-08
5,5,0.5,0.0,0.0025,0,0,0,-2.632713914450542e-08
6,6,0.6,0.0,0.0025,0,0,0,-3.2475152391209585e-08
7,7,0.7,0.0,0.0025,0,0,0,-3.8343129913791114e-08
8,8,0.7999999999999999,0.0,0.0025,0,0,0,-4.1217556343563726e-08
9,9,0.8999999999999999,0.0,0.0025,0,0,0,-3.68503748193878e-08
10,10,1.0,0.0,0.0025,0,0,0,-2.6647996992715722e-08
11,11,1.1,0.0,0.0025,0,0,0,-1.1099875944084381e-08
12,12,1.2,0.0,0.0025,0,0,0,9.271629705986744e-09
13,13,1.3,0.0,0.0025,0,0,0,3.2266045429731674e-08
14,14,1.4,0.0,0.0025,0,0,0,5.6607693638362964e-08
15,15,1.5,0.0,0.0025,0,0,0,8.112702563927806e-08
16,16,1.6,0.0,0.0025,0,0,0,1.030855145380803e-07
17,17,1.7,0.0,0.0025,0,0,0,1.225693991554643e-07
18,18,1.8,0.0,0.0025,0,0,0,1.410061285576491e-07
19,19,1.900000000000001,0.0,0.0025,0,0,0,1.550930428035593e-07
20,20,2.0,0.0,0.0025,0,0,0,1.418892698682899e-07
21,21,2.100000000000001,0.0,0.0025,0,0,0,8.227513032983305e-08
22,22,2.200000000000001,0.0,0.0025,0,0,0,-3.028809387706429e-09
23,23,2.300000000000001,0.0,0.0025,0,0,0,-9.293869277507648e-08
24,24,2.400000000000001,0.0,0.0025,0,0,0,-1.77085001273461e-07
25,25,2.500000000000001,0.0,0.0025,0,0,0,-2.511792889778099e-07
26,26,2.600000000000001,0.0,0.0025,0,0,0,-3.139097129490891e-07
27,27,2.700000000000001,0.0,0.0025,0,0,0,-3.655502472751983e-07
28,28,2.800000000000001,0.0,0.0025,0,0,0,-4.072495402747505e-07
29,29,2.900000000000001,0.0,0.0025,0,0,0,-4.405573632203241e-07
30,30,3.000000000000001,0.0,0.0025,0,0,0,-4.67092647072003e-07
31,31,3.100000000000001,0.0,0.0025,0,0,0,-4.883445231963856e-07
32,32,3.200000000000002,0.0,0.0025,0,0,0,-5.055759681211808e-07
33,33,3.300000000000002,0.0,0.0025,0,0,0,-5.198023738639432e-07
34,34,3.400000000000002,0.0,0.0025,0,0,0,-5.318231035353574e-07
35,35,3.500000000000002,0.0,0.0025,0,0,0,-5.422705616358325e-07
36,36,3.600000000000002,0.0,0.0025,0,0,0,-5.516518145037892e-07
37,37,3.700000000000002,0.0,0.0025,0,0,0,-5.603684659727014e-07
38,38,3.800000000000002,0.0,0.0025,0,0,0,-5.687359812171271e-07
39,39,3.900000000000002,0.0,0.0025,0,0,0,-5.770021317940619e-07
40,40,4.000000000000002,0.0,0.0025,0,0,0,-5.853645451285085e-07
41,41,4.100000000000001,0.0,0.0025,0,0,0,-5.939815996069272e-07
42,42,4.200000000000001,0.0,0.0025,0,0,0,-6.029828704814616e-07
43,43,4.300000000000001,0.0,0.0025,0,0,0,-6.124713244102821e-07
44,44,4.4,0.0,0.0025,0,0,0,-6.225304026361885e-07
45,45,4.5,0.0,0.0025,0,0,0,-6.332248485985948e-07
46,46,4.6,0.0,0.0025,0,0,0,-6.446053795648052e-07
47,47,4.699999999999999,0.0,0.0025,0,0,0,-6.567117999268972e-07
48,48,4.799999999999999,0.0,0.0025,0,0,0,-6.695861703040572e-07
49,49,4.899999999999999,0.0,0.0025,0,0,0,-6.832363632734104e-07
50,50,4.999999999999998,0.0,0.0025,0,0,0,-6.975922261364586e-07
51,51,5.099999999999998,0.0,0.0025,0,0,0,-7.128855769933712e-07
52,52,5.199999999999998,0.0,0.0025,0,0,0,-7.277001943822016e-07
53,53,5.299999999999997,0.0,0.0025,0,0,0,-7.404792639657184e-07
54,54,5.399999999999997,0.0,0.0025,0,0,0,-7.522833973005959e-07
55,55,5.499999999999996,0.0,0.0025,0,0,0,-7.643781930493488e-07
56,56,5.599999999999996,0.0,0.0025,0,0,0,-7.807758670805605e-07
57,57,5.699999999999996,0.0,0.0025,0,0,0,-8.027827348793968e-07
58,58,5.799999999999995,0.0,0.0025,0,0,0,-8.275248992162213e-07
59,59,5.899999999999995,0.0,0.0025,0,0,0,-8.528286768688892e-07
60,60,5.999999999999995,0.0,0.0025,0,0,0,-8.773928833796432e-07
61,61,6.099999999999994,0.0,0.0025,0,0,0,-9.033098295299432e-07
62,62,6.199999999999994,0.0,0.0025,0,0,0,-9.304400324325484e-07
63,63,6.299999999999994,0.0,0.0025,0,0,0,-9.576072567522923e-07
64,64,6.399999999999993,0.0,0.0025,0,0,0,-9.844151626124783e-07
65,65,6.499999999999993,0.0,0.0025,0,0,0,-1.009496580368771e-06
