,Step,Time,xb,yb,zb,Bx,By,Bz
0,0,0.0,1e-05,0.005,0,0.0,0.0,0
1,1,0.1,1e-05,0.005,0,-0.0005861428913177,-0.0006493271768308,0
2,2,0.2,1e-05,0.005,0,-0.0012007188886109,-0.0013301528934926,0
3,3,0.3,1e-05,0.005,0,-0.0018462865908531,-0.0020453122285531,0
4,4,0.4,1e-05,0.005,0,-0.0025239077164408,-0.0027959826668601,0
5,5,0.5,1e-05,0.005,0,-0.0032345429532375,-0.0035832308794254,0
6,6,0.6,1e-05,0.005,0,-0.0039790116632954,-0.0044079685832185,0
7,7,0.7,1e-05,0.005,0,-0.0047573407361304,-0.0052702314842769,0
8,8,0.7999999999999999,1e-05,0.005,0,-0.0055683124245348,-0.0061686761912171,0
9,9,0.8999999999999999,1e-05,0.005,0,-0.0064119516483185,-0.0071033330568407,0
10,10,1.0,1e-05,0.005,0,-0.0072827995896221,-0.0080681137584384,0
11,11,1.1,1e-05,0.005,0,-0.0081831268278064,-0.0090654231836466,0
12,12,1.2,1e-05,0.005,0,-0.0091094811582033,-0.010091380649848,0
13,13,1.3,1e-05,0.005,0,-0.0100456133907079,-0.0111278755133392,0
14,14,1.4,1e-05,0.005,0,-0.0109839328017025,-0.0121657652653864,0
15,15,1.5,1e-05,0.005,0,-0.0119187236243106,-0.0131967533705968,0
16,16,1.6,1e-05,0.005,0,-0.0128512444375015,-0.0142204248835262,0
17,17,1.7,1e-05,0.005,0,-0.0137717556644098,-0.0152265865230796,0
18,18,1.8,1e-05,0.005,0,-0.0146553553767812,-0.0161897017060672,0
19,19,1.900000000000001,1e-05,0.005,0,-0.0154816952367685,-0.0170889446079496,0
20,20,2.0,1e-05,0.005,0,-0.0162389503332394,-0.0179122007848151,0
21,21,2.100000000000001,1e-05,0.005,0,-0.0169220760542852,-0.0186543505568769,0
22,22,2.200000000000001,1e-05,0.005,0,-0.017522333967442,-0.0193059399149328,0
23,23,2.300000000000001,1e-05,0.005,0,-0.018028328677907,-0.0198544564071406,0
24,24,2.400000000000001,1e-05,0.005,0,-0.018431864077916,-0.0202908600879883,0
25,25,2.500000000000001,1e-05,0.005,0,-0.0187299382008009,-0.0206118287316849,0
26,26,2.600000000000001,1e-05,0.005,0,-0.0189242963242008,-0.020819287287208,0
27,27,2.700000000000001,1e-05,0.005,0,-0.0190209103267074,-0.0209198280638119,0
28,28,2.800000000000001,1e-05,0.005,0,-0.0190310248088192,-0.0209258373106178,0
29,29,2.900000000000001,1e-05,0.005,0,-0.0189672655678319,-0.0208511830498797,0
30,30,3.000000000000001,1e-05,0.005,0,-0.0188405367112969,-0.0207077924937307,0
31,31,3.100000000000001,1e-05,0.005,0,-0.0186598095179587,-0.0205054314586774,0
32,32,3.200000000000002,1e-05,0.005,0,-0.0184336741303797,-0.0202534355548088,0
33,33,3.300000000000002,1e-05,0.005,0,-0.0181670805204923,-0.0199571220714156,0
34,34,3.400000000000002,1e-05,0.005,0,-0.0178626669931731,-0.0196192715175719,0
35,35,3.500000000000002,1e-05,0.005,0,-0.0175214286059234,-0.0192408723487214,0
36,36,3.600000000000002,1e-05,0.005,0,-0.0171441766844917,-0.0188227375806971,0
37,37,3.700000000000002,1e-05,0.005,0,-0.0167309531342014,-0.0183648533963258,0
38,38,3.800000000000002,1e-05,0.005,0,-0.0162814208754282,-0.0178668066734959,0
39,39,3.900000000000002,1e-05,0.005,0,-0.0157950058658589,-0.0173279368577261,0
40,40,4.000000000000002,1e-05,0.005,0,-0.0152713054353118,-0.0167477835713556,0
41,41,4.100000000000001,1e-05,0.005,0,-0.0147096232756798,-0.0161255679752261,0
42,42,4.200000000000001,1e-05,0.005,0,-0.0141096507940962,-0.0154609452258137,0
43,43,4.300000000000001,1e-05,0.005,0,-0.0134705816339847,-0.0147530221172079,0
44,44,4.4,1e-05,0.005,0,-0.0127919290487784,-0.014001261779453,0
45,45,4.5,1e-05,0.005,0,-0.012072985837516,-0.0132048850787556,0
46,46,4.6,1e-05,0.005,0,-0.0113133072297908,-0.0123634054123952,0
47,47,4.699999999999999,1e-05,0.005,0,-0.0105121533772833,-0.0114760108128542,0
48,48,4.799999999999999,1e-05,0.005,0,-0.009668339732004,-0.0105413975832007,0
49,49,4.899999999999999,1e-05,0.005,0,-0.008783319831116,-0.0095611860366411,0
50,50,4.999999999999998,1e-05,0.005,0,-0.0078543896728781,-0.0085323856656179,0
51,51,5.099999999999998,1e-05,0.005,0,-0.0068844817934772,-0.00745825384694,0
52,52,5.199999999999998,1e-05,0.005,0,-0.0058752736442636,-0.0063406476825901,0
53,53,5.299999999999997,1e-05,0.005,0,-0.004819896772898,-0.0051719446900261,0
54,54,5.399999999999997,1e-05,0.005,0,-0.0037253342262685,-0.0039598886856458,0
55,55,5.499999999999996,1e-05,0.005,0,-0.0026004889735807,-0.0027143337729246,0
56,56,5.599999999999996,1e-05,0.005,0,-0.0014281745566375,-0.0014161719490155,0
57,57,5.699999999999996,1e-05,0.005,0,-0.0002126542621191,-7.010332881569489e-05,0
58,58,5.799999999999995,1e-05,0.005,0,0.0010330030819961,0.0013093776440917,0
59,59,5.899999999999995,1e-05,0.005,0,0.0022950158552958,0.0027069196441866,0
60,60,5.999999999999995,1e-05,0.005,0,0.0035589354901805,0.0041058624910856,0
61,61,6.099999999999994,1e-05,0.005,0,0.0048323667409817,0.0055114761411376,0
62,62,6.199999999999994,1e-05,0.005,0,0.0061448100865011,0.0069518803719292,0
63,63,6.299999999999994,1e-05,0.005,0,0.0074712549398811,0.0084004697130169,0
64,64,6.399999999999993,1e-05,0.005,0,0.0087752028166511,0.0098208516772201,0
65,65,6.499999999999993,1e-05,0.005,0,0.0100362486438457,0.0111930098325542,0
66,66,6.599999999999993,1e-05,0.005,0,0.0112447887096168,0.0125074877636961,0
67,67,6.699999999999992,1e-05,0.005,0,0.0124068702589965,0.0137714274666605,0
68,68,6.799999999999992,1e-05,0.005,0,0.0135082307384848,0.0149693530515696,0
69,69,6.899999999999991,1e-05,0.005,0,0.0145284750616925,0.016078937683966,0
70,70,6.999999999999991,1e-05,0.005,0,0.015450120081496,0.0170810291705675,0
71,71,7.099999999999991,1e-05,0.005,0,0.0162624344696342,0.0179638682754226,0
72,72,7.19999999999999,1e-05,0.005,0,0.0169600683216959,0.0187215596311546,0
73,73,7.29999999999999,1e-05,0.005,0,0.0175393658584593,0.0193500241099265,0
74,74,7.39999999999999,1e-05,0.005,0,0.0179983264906854,0.0198469833042928,0
75,75,7.499999999999989,1e-05,0.005,0,0.0183380718819699,0.020213600075543,0
76,76,7.599999999999989,1e-05,0.005,0,0.0185632224314033,0.0204549076839009,0
77,77,7.699999999999989,1e-05,0.005,0,0.0186819972370526,0.020579915648279,0
78,78,7.799999999999988,1e-05,0.005,0,0.0187074538242739,0.0206029552429833,0
79,79,7.899999999999988,1e-05,0.005,0,0.0186539696886446,0.0205397834333069,0
80,80,7.999999999999988,1e-05,0.005,0,0.0185337155983644,0.0204036936094145,0
81,81,8.099999999999987,1e-05,0.005,0,0.0183565259695643,0.0202053837452932,0
82,82,8.199999999999987,1e-05,0.005,0,0.0181319614327936,0.0199552498020595,0
83,83,8.299999999999986,1e-05,0.005,0,0.0178660176986747,0.0196597596969355,0
84,84,8.399999999999986,1e-05,0.005,0,0.0175618488720053,0.0193222632356962,0
85,85,8.499999999999986,1e-05,0.005,0,0.0172207636789247,0.0189440978947064,0
86,86,8.599999999999985,1e-05,0.005,0,0.016843612591357,0.0185261237118016,0
87,87,8.699999999999985,1e-05,0.005,0,0.0164305869917281,0.0180684969450971,0
88,88,8.799999999999985,1e-05,0.005,0,0.0159813836962678,0.0175708466243742,0
89,89,8.899999999999984,1e-05,0.005,0,0.0154954002831942,0.0170324850417334,0
90,90,8.999999999999984,1e-05,0.005,0,0.0149722508735171,0.0164529742329074,0
91,91,9.099999999999984,1e-05,0.005,0,0.0144112972041139,0.015831603047905,0
92,92,9.199999999999983,1e-05,0.005,0,0.0138122619796866,0.0151680643930212,0
93,93,9.299999999999985,1e-05,0.005,0,0.0131743466484208,0.014461476583765,0
94,94,9.399999999999984,1e-05,0.005,0,0.0124970101051682,0.0137112450836275,0
95,95,9.499999999999982,1e-05,0.005,0,0.0117795262552778,0.0129165717296258,0
96,96,9.599999999999982,1e-05,0.005,0,0.0110214700561126,0.0120769924144316,0
97,97,9.699999999999982,1e-05,0.005,0,0.010222012771028,0.011191595333341,0
98,98,9.79999999999998,1e-05,0.005,0,0.0093803243181573,0.0102594657307545,0
99,99,9.89999999999998,1e-05,0.005,0,0.0084974662931621,0.0092817832177623,0
100,100,9.99999999999998,1e-05,0.005,0,0.0075717364761359,0.0082566600117142,0
101,101,10.09999999999998,1e-05,0.005,0,0.0066047122315779,0.0071858432845249,0
102,102,10.19999999999998,1e-05,0.005,0,0.0055999097602458,0.0060732240134793,0
103,103,10.29999999999998,1e-05,0.005,0,0.0045492094935736,0.0049097892232666,0
104,104,10.39999999999998,1e-05,0.005,0,0.0034589354525133,0.0037025503537834,0
105,105,10.49999999999998,1e-05,0.005,0,0.002339312028879,0.0024628319780674,0
106,106,10.59999999999998,1e-05,0.005,0,0.0011772755443257,0.0011760984313161,0
107,107,10.69999999999998,1e-05,0.005,0,-2.977575773964866e-05,-0.0001605672947302,0
108,108,10.79999999999998,1e-05,0.005,0,-0.0012680533099699,-0.0015318679913639,0
109,109,10.89999999999998,1e-05,0.005,0,-0.0025245386863175,-0.0029233295204606,0
110,110,10.99999999999998,1e-05,0.005,0,-0.003782262872766,-0.0043158131745472,0
111,111,11.09999999999998,1e-05,0.005,0,-0.0050399780007414,-0.0057058872855835,0
112,112,11.19999999999998,1e-05,0.005,0,-0.0063300148377642,-0.0071245799248773,0
113,113,11.29999999999998,1e-05,0.005,0,-0.0076410350734663,-0.008558300532001,0
114,114,11.39999999999998,1e-05,0.005,0,-0.0089347654303242,-0.0099684404600404,0
115,115,11.49999999999998,1e-05,0.005,0,-0.0101888719022861,-0.0113333927975809,0
116,116,11.59999999999997,1e-05,0.005,0,-0.0113882364620588,-0.0126379704229516,0
117,117,11.69999999999997,1e-05,0.005,0,-0.0125384163550339,-0.0138889230307881,0
118,118,11.79999999999997,1e-05,0.005,0,-0.0136299141253073,-0.0150760774943788,0
119,119,11.89999999999997,1e-05,0.005,0,-0.0146426897721875,-0.0161775147143867,0
120,120,11.99999999999997,1e-05,0.005,0,-0.0155590671306995,-0.0171738684895838,0
121,121,12.09999999999997,1e-05,0.005,0,-0.0163671014045853,-0.0180520426434099,0
122,122,12.19999999999997,1e-05,0.005,0,-0.0170607245767855,-0.0188053526707097,0
123,123,12.29999999999997,1e-05,0.005,0,-0.0176366023222395,-0.0194300716062411,0
124,124,12.39999999999997,1e-05,0.005,0,-0.0180929121026627,-0.0199241139657851,0
125,125,12.49999999999997,1e-05,0.005,0,-0.0184306196438665,-0.0202884706389259,0
126,126,12.59999999999997,1e-05,0.005,0,-0.0186541612864497,-0.020527975633246,0
