,Step,Time,xj,yj,zj,Jx,Jy,Jz
0,0,0.0,0.0,0.001,0,0,0,0.0
1,1,0.1,0.0,0.001,0,0,0,-8.100840390272963e-19
2,2,0.2,0.0,0.001,0,0,0,-1.660459409732318e-18
3,3,0.3,0.0,0.001,0,0,0,-2.556466161680497e-18
4,4,0.4,0.0,0.001,0,0,0,-3.49575652346348e-18
5,5,0.5,0.0,0.001,0,0,0,-4.356643568687535e-18
6,6,0.6,0.0,0.001,0,0,0,-4.7635659315512074e-18
7,7,0.7,0.0,0.001,0,0,0,-4.3372962180904754e-18
8,8,0.7999999999999999,0.0,0.001,0,0,0,-2.95601515086917e-18
9,9,0.8999999999999999,0.0,0.001,0,0,0,-5.843173320636603e-19
10,10,1.0,0.0,0.001,0,0,0,2.322782508807591e-18
11,11,1.1,0.0,0.001,0,0,0,5.174963905280751e-18
12,12,1.2,0.0,0.001,0,0,0,6.7139187972267896e-18
13,13,1.3,0.0,0.001,0,0,0,6.417497374070319e-18
14,14,1.4,0.0,0.001,0,0,0,2.4203034338058213e-18
15,15,1.5,0.0,0.001,0,0,0,-3.3262031691369393e-18
16,16,1.6,0.0,0.001,0,0,0,-1.1075571954800809e-17
17,17,1.7,0.0,0.001,0,0,0,-2.1492313293190518e-17
18,18,1.8,0.0,0.001,0,0,0,-2.9176649882256476e-17
19,19,1.900000000000001,0.0,0.001,0,0,0,-3.191300158543666e-17
20,20,2.0,0.0,0.001,0,0,0,-3.423351214483503e-17
21,21,2.100000000000001,0.0,0.001,0,0,0,-3.840928325031682e-17
22,22,2.200000000000001,0.0,0.001,0,0,0,-3.9065210663771767e-17
23,23,2.300000000000001,0.0,0.001,0,0,0,-3.4711847888920605e-17
24,24,2.400000000000001,0.0,0.001,0,0,0,-2.8603824275753404e-17
25,25,2.500000000000001,0.0,0.001,0,0,0,-2.4584497047740288e-17
26,26,2.600000000000001,0.0,0.001,0,0,0,-2.4426326938650958e-17
27,27,2.700000000000001,0.0,0.001,0,0,0,-2.6275534312356027e-17
28,28,2.800000000000001,0.0,0.001,0,0,0,-2.852298663653658e-17
29,29,2.900000000000001,0.0,0.001,0,0,0,-3.057541927640548e-17
30,30,3.000000000000001,0.0,0.001,0,0,0,-3.229212814027603e-17
31,31,3.100000000000001,0.0,0.001,0,0,0,-3.368164497419328e-17
32,32,3.200000000000002,0.0,0.001,0,0,0,-3.4794834320438225e-17
33,33,3.300000000000002,0.0,0.001,0,0,0,-3.5688169996146405e-17
34,34,3.400000000000002,0.0,0.001,0,0,0,-3.6412771152150966e-17
35,35,3.500000000000002,0.0,0.001,0,0,0,-3.701249009780592e-17
36,36,3.600000000000002,0.0,0.001,0,0,0,-3.7523662977757156e-17
37,37,3.700000000000002,0.0,0.001,0,0,0,-3.7974359542954885e-17
38,38,3.800000000000002,0.0,0.001,0,0,0,-3.838519466284849e-17
39,39,3.900000000000002,0.0,0.001,0,0,0,-3.8770527995487137e-17
