,Step,Time,xj,yj,zj,Jx,Jy,Jz
0,0,0.0,0.0,0.0025,0,0,0,0.0
1,1,0.1,0.0,0.0025,0,0,0,-2.492981926748979e-09
2,2,0.2,0.0,0.0025,0,0,0,-5.050352854970427e-09
3,3,0.3,0.0,0.0025,0,0,0,-7.683659999468006e-09
4,4,0.4,0.0,0.0025,0,0,0,-1.039982132611698e-08
5,5,0.5,0.0,0.0025,0,0,0,-1.3206693988247271e-08
6,6,0.6,0.0,0.0025,0,0,0,-1.6112165888948732e-08
7,7,0.7,0.0,0.0025,0,0,0,-1.912593836539817e-08
8,8,0.7999999999999999,0.0,0.0025,0,0,0,-2.2259361493405913e-08
9,9,0.8999999999999999,0.0,0.0025,0,0,0,-2.552853995160745e-08
10,10,1.0,0.0,0.0025,0,0,0,-2.894882201548964e-08
11,11,1.1,0.0,0.0025,0,0,0,-3.2492245560659154e-08
12,12,1.2,0.0,0.0025,0,0,0,-3.599034363438238e-08
13,13,1.3,0.0,0.0025,0,0,0,-3.909616963928513e-08
14,14,1.4,0.0,0.0025,0,0,0,-4.0790932238395295e-08
15,15,1.5,0.0,0.0025,0,0,0,-3.949857098619346e-08
16,16,1.6,0.0,0.0025,0,0,0,-3.515234947736954e-08
17,17,1.7,0.0,0.0025,0,0,0,-2.8592610258566662e-08
18,18,1.8,0.0,0.0025,0,0,0,-1.982266676269693e-08
19,19,1.900000000000001,0.0,0.0025,0,0,0,-8.274868799972727e-09
20,20,2.0,0.0,0.0025,0,0,0,5.952911109530342e-09
21,21,2.100000000000001,0.0,0.0025,0,0,0,2.2161288030547633e-08
22,22,2.200000000000001,0.0,0.0025,0,0,0,3.9918063262669785e-08
23,23,2.300000000000001,0.0,0.0025,0,0,0,5.9097798458068264e-08
24,24,2.400000000000001,0.0,0.0025,0,0,0,7.93366914150193e-08
25,25,2.500000000000001,0.0,0.0025,0,0,0,9.895984947618677e-08
26,26,2.600000000000001,0.0,0.0025,0,0,0,1.176003114132445e-07
27,27,2.700000000000001,0.0,0.0025,0,0,0,1.369597160792423e-07
28,28,2.800000000000001,0.0,0.0025,0,0,0,1.546958190213793e-07
29,29,2.900000000000001,0.0,0.0025,0,0,0,1.34769494239789e-07
30,30,3.000000000000001,0.0,0.0025,0,0,0,2.9455816316074682e-08
31,31,3.100000000000001,0.0,0.0025,0,0,0,-5.539711801677923e-08
32,32,3.200000000000002,0.0,0.0025,0,0,0,-1.106452014661489e-07
33,33,3.300000000000002,0.0,0.0025,0,0,0,-1.478191390077857e-07
34,34,3.400000000000002,0.0,0.0025,0,0,0,-1.743892803632062e-07
35,35,3.500000000000002,0.0,0.0025,0,0,0,-1.944882154556148e-07
36,36,3.600000000000002,0.0,0.0025,0,0,0,-2.104591397255949e-07
37,37,3.700000000000002,0.0,0.0025,0,0,0,-2.237015322780951e-07
38,38,3.800000000000002,0.0,0.0025,0,0,0,-2.350941442612507e-07
39,39,3.900000000000002,0.0,0.0025,0,0,0,-2.452053129007961e-07
40,40,4.000000000000002,0.0,0.0025,0,0,0,-2.54419564156582e-07
41,41,4.100000000000001,0.0,0.0025,0,0,0,-2.629957996073683e-07
42,42,4.200000000000001,0.0,0.0025,0,0,0,-2.711180959604514e-07
43,43,4.300000000000001,0.0,0.0025,0,0,0,-2.789206361551582e-07
44,44,4.4,0.0,0.0025,0,0,0,-2.864993104989231e-07
45,45,4.5,0.0,0.0025,0,0,0,-2.939285993145879e-07
46,46,4.6,0.0,0.0025,0,0,0,-3.012661115493518e-07
47,47,4.699999999999999,0.0,0.0025,0,0,0,-3.085572905373053e-07
48,48,4.799999999999999,0.0,0.0025,0,0,0,-3.158392188485698e-07
49,49,4.899999999999999,0.0,0.0025,0,0,0,-3.231433173329958e-07
50,50,4.999999999999998,0.0,0.0025,0,0,0,-3.304933970808068e-07
51,51,5.099999999999998,0.0,0.0025,0,0,0,-3.379143550900543e-07
52,52,5.199999999999998,0.0,0.0025,0,0,0,-3.454251923913696e-07
53,53,5.299999999999997,0.0,0.0025,0,0,0,-3.530439707529375e-07
54,54,5.399999999999997,0.0,0.0025,0,0,0,-3.607898088830922e-07
55,55,5.499999999999996,0.0,0.0025,0,0,0,-3.686803974691866e-07
56,56,5.599999999999996,0.0,0.0025,0,0,0,-3.767328903365044e-07
57,57,5.699999999999996,0.0,0.0025,0,0,0,-3.849625643894354e-07
58,58,5.799999999999995,0.0,0.0025,0,0,0,-3.933930557427081e-07
59,59,5.899999999999995,0.0,0.0025,0,0,0,-4.020468857905365e-07
60,60,5.999999999999995,0.0,0.0025,0,0,0,-4.109127939122167e-07
61,61,6.099999999999994,0.0,0.0025,0,0,0,-4.199793273791512e-07
62,62,6.199999999999994,0.0,0.0025,0,0,0,-4.292877299502983e-07
63,63,6.299999999999994,0.0,0.0025,0,0,0,-4.388880857708477e-07
64,64,6.399999999999993,0.0,0.0025,0,0,0,-4.487798500903968e-07
65,65,6.499999999999993,0.0,0.0025,0,0,0,-4.587893210273069e-07
66,66,6.599999999999993,0.0,0.0025,0,0,0,-4.685941501084911e-07
67,67,6.699999999999992,0.0,0.0025,0,0,0,-4.778840872976336e-07
68,68,6.799999999999992,0.0,0.0025,0,0,0,-4.866719305864286e-07
69,69,6.899999999999991,0.0,0.0025,0,0,0,-4.952495705006801e-07
70,70,6.999999999999991,0.0,0.0025,0,0,0,-5.041592520656294e-07
71,71,7.099999999999991,0.0,0.0025,0,0,0,-5.146323052188746e-07
72,72,7.19999999999999,0.0,0.0025,0,0,0,-5.278862602794527e-07
73,73,7.29999999999999,0.0,0.0025,0,0,0,-5.436460208987243e-07
74,74,7.39999999999999,0.0,0.0025,0,0,0,-5.609829680353183e-07
75,75,7.499999999999989,0.0,0.0025,0,0,0,-5.794811531644605e-07
76,76,7.599999999999989,0.0,0.0025,0,0,0,-5.988664556379953e-07
77,77,7.699999999999989,0.0,0.0025,0,0,0,-6.187550677358704e-07
78,78,7.799999999999988,0.0,0.0025,0,0,0,-6.388563098802339e-07
79,79,7.899999999999988,0.0,0.0025,0,0,0,-6.588120728019223e-07
80,80,7.999999999999988,0.0,0.0025,0,0,0,-6.778931254701771e-07
81,81,8.099999999999987,0.0,0.0025,0,0,0,-6.969854097649865e-07
82,82,8.199999999999987,0.0,0.0025,0,0,0,-7.169853604163725e-07
83,83,8.299999999999986,0.0,0.0025,0,0,0,-7.376935040961923e-07
84,84,8.399999999999986,0.0,0.0025,0,0,0,-7.588261617223116e-07
85,85,8.499999999999986,0.0,0.0025,0,0,0,-7.797322550369367e-07
86,86,8.599999999999985,0.0,0.0025,0,0,0,-7.802873985688668e-07
87,87,8.699999999999985,0.0,0.0025,0,0,0,-6.966985638724989e-07
88,88,8.799999999999985,0.0,0.0025,0,0,0,-5.434236852705106e-07
89,89,8.899999999999984,0.0,0.0025,0,0,0,-3.565377810970028e-07
90,90,8.999999999999984,0.0,0.0025,0,0,0,-1.528086286612974e-07
91,91,9.099999999999984,0.0,0.0025,0,0,0,-3.6398804500255155e-08
92,92,9.199999999999983,0.0,0.0025,0,0,0,3.137596827336591e-08
93,93,9.299999999999985,0.0,0.0025,0,0,0,7.458612293776403e-08
94,94,9.399999999999984,0.0,0.0025,0,0,0,1.044591089062966e-07
95,95,9.499999999999982,0.0,0.0025,0,0,0,1.265302515478885e-07
96,96,9.599999999999982,0.0,0.0025,0,0,0,1.437546370964566e-07
97,97,9.699999999999982,0.0,0.0025,0,0,0,1.578300269504603e-07
98,98,9.79999999999998,0.0,0.0025,0,0,0,1.697946233458492e-07
99,99,9.89999999999998,0.0,0.0025,0,0,0,1.803090619849504e-07
100,100,9.99999999999998,0.0,0.0025,0,0,0,1.898137146603173e-07
101,101,10.09999999999998,0.0,0.0025,0,0,0,1.986027742981418e-07
102,102,10.19999999999998,0.0,0.0025,0,0,0,2.068828411866963e-07
103,103,10.29999999999998,0.0,0.0025,0,0,0,2.148031594065342e-07
104,104,10.39999999999998,0.0,0.0025,0,0,0,2.224702663656928e-07
105,105,10.49999999999998,0.0,0.0025,0,0,0,2.299651397205361e-07
106,106,10.59999999999998,0.0,0.0025,0,0,0,2.373511724292908e-07
107,107,10.69999999999998,0.0,0.0025,0,0,0,2.446767367435246e-07
108,108,10.79999999999998,0.0,0.0025,0,0,0,2.519818402915085e-07
109,109,10.89999999999998,0.0,0.0025,0,0,0,2.592993786366739e-07
110,110,10.99999999999998,0.0,0.0025,0,0,0,2.666549076500997e-07
111,111,11.09999999999998,0.0,0.0025,0,0,0,2.740748361877488e-07
112,112,11.19999999999998,0.0,0.0025,0,0,0,2.815789332011014e-07
113,113,11.29999999999998,0.0,0.0025,0,0,0,2.891849682915858e-07
114,114,11.39999999999998,0.0,0.0025,0,0,0,2.969130341232073e-07
115,115,11.49999999999998,0.0,0.0025,0,0,0,3.047786472181738e-07
116,116,11.59999999999997,0.0,0.0025,0,0,0,3.127987976157457e-07
117,117,11.69999999999997,0.0,0.0025,0,0,0,3.209921739648054e-07
118,118,11.79999999999997,0.0,0.0025,0,0,0,3.29376338309711e-07
119,119,11.89999999999997,0.0,0.0025,0,0,0,3.37978964693629e-07
120,120,11.99999999999997,0.0,0.0025,0,0,0,3.468043289721002e-07
121,121,12.09999999999997,0.0,0.0025,0,0,0,3.558299759996797e-07
122,122,12.19999999999997,0.0,0.0025,0,0,0,3.650872520911729e-07
123,123,12.29999999999997,0.0,0.0025,0,0,0,3.746279769052298e-07
124,124,12.39999999999997,0.0,0.0025,0,0,0,3.844746341742798e-07
125,125,12.49999999999997,0.0,0.0025,0,0,0,3.945056356081735e-07
126,126,12.59999999999997,0.0,0.0025,0,0,0,4.044247261245432e-07
127,127,12.69999999999997,0.0,0.0025,0,0,0,4.138904329930826e-07
128,128,12.79999999999997,0.0,0.0025,0,0,0,4.228147980425232e-07
129,129,12.89999999999997,0.0,0.0025,0,0,0,4.314420872283806e-07
130,130,12.99999999999997,0.0,0.0025,0,0,0,4.402195914377314e-07
131,131,13.09999999999997,0.0,0.0025,0,0,0,4.501757396239317e-07
132,132,13.19999999999997,0.0,0.0025,0,0,0,4.627467792617507e-07
133,133,13.29999999999997,0.0,0.0025,0,0,0,4.780827621278713e-07
134,134,13.39999999999997,0.0,0.0025,0,0,0,4.952636378736517e-07
135,135,13.49999999999997,0.0,0.0025,0,0,0,5.137082983782568e-07
136,136,13.59999999999997,0.0,0.0025,0,0,0,5.332211703226552e-07
137,137,13.69999999999997,0.0,0.0025,0,0,0,5.534767909349562e-07
138,138,13.79999999999997,0.0,0.0025,0,0,0,5.741943495196771e-07
139,139,13.89999999999997,0.0,0.0025,0,0,0,5.95064735036166e-07
140,140,13.99999999999997,0.0,0.0025,0,0,0,6.149328415871682e-07
141,141,14.09999999999997,0.0,0.0025,0,0,0,6.339776308242488e-07
142,142,14.19999999999997,0.0,0.0025,0,0,0,6.537740523158469e-07
143,143,14.29999999999997,0.0,0.0025,0,0,0,6.743747394509939e-07
144,144,14.39999999999996,0.0,0.0025,0,0,0,6.954759805332243e-07
145,145,14.49999999999996,0.0,0.0025,0,0,0,7.16733136261619e-07
146,146,14.59999999999996,0.0,0.0025,0,0,0,7.282553156740537e-07
147,147,14.69999999999996,0.0,0.0025,0,0,0,6.686603197175501e-07
148,148,14.79999999999996,0.0,0.0025,0,0,0,5.28953002500868e-07
149,149,14.89999999999996,0.0,0.0025,0,0,0,3.484231560536747e-07
150,150,14.99999999999996,0.0,0.0025,0,0,0,1.480458749356939e-07
151,0,0.0,4.166666666666667e-05,0.0025,0,0,0,0.0
152,1,0.1,4.166666666666667e-05,0.0025,0,0,0,-2.492981926748979e-09
153,2,0.2,4.166666666666667e-05,0.0025,0,0,0,-5.050352854970427e-09
154,3,0.3,4.166666666666667e-05,0.0025,0,0,0,-7.683659999468006e-09
155,4,0.4,4.166666666666667e-05,0.0025,0,0,0,-1.039982132611698e-08
156,5,0.5,4.166666666666667e-05,0.0025,0,0,0,-1.3206693988247271e-08
157,6,0.6,4.166666666666667e-05,0.0025,0,0,0,-1.6112165888948732e-08
158,7,0.7,4.166666666666667e-05,0.0025,0,0,0,-1.912593836539817e-08
159,8,0.7999999999999999,4.166666666666667e-05,0.0025,0,0,0,-2.2259361493405913e-08
160,9,0.8999999999999999,4.166666666666667e-05,0.0025,0,0,0,-2.552853995160745e-08
161,10,1.0,4.166666666666667e-05,0.0025,0,0,0,-2.894882201548964e-08
162,11,1.1,4.166666666666667e-05,0.0025,0,0,0,-3.2492245560659154e-08
163,12,1.2,4.166666666666667e-05,0.0025,0,0,0,-3.599034363438238e-08
164,13,1.3,4.166666666666667e-05,0.0025,0,0,0,-3.909616963928513e-08
165,14,1.4,4.166666666666667e-05,0.0025,0,0,0,-4.0790932238395295e-08
166,15,1.5,4.166666666666667e-05,0.0025,0,0,0,-3.949857098619346e-08
167,16,1.6,4.166666666666667e-05,0.0025,0,0,0,-3.515234947736954e-08
168,17,1.7,4.166666666666667e-05,0.0025,0,0,0,-2.8592610258566662e-08
169,18,1.8,4.166666666666667e-05,0.0025,0,0,0,-1.982266676269693e-08
170,19,1.900000000000001,4.166666666666667e-05,0.0025,0,0,0,-8.274868799972727e-09
171,20,2.0,4.166666666666667e-05,0.0025,0,0,0,5.952911109530342e-09
172,21,2.100000000000001,4.166666666666667e-05,0.0025,0,0,0,2.2161288030547633e-08
173,22,2.200000000000001,4.166666666666667e-05,0.0025,0,0,0,3.9918063262669785e-08
174,23,2.300000000000001,4.166666666666667e-05,0.0025,0,0,0,5.9097798458068264e-08
175,24,2.400000000000001,4.166666666666667e-05,0.0025,0,0,0,7.93366914150193e-08
176,25,2.500000000000001,4.166666666666667e-05,0.0025,0,0,0,9.895984947618677e-08
177,26,2.600000000000001,4.166666666666667e-05,0.0025,0,0,0,1.176003114132445e-07
178,27,2.700000000000001,4.166666666666667e-05,0.0025,0,0,0,1.369597160792423e-07
179,28,2.800000000000001,4.166666666666667e-05,0.0025,0,0,0,1.546958190213793e-07
180,29,2.900000000000001,4.166666666666667e-05,0.0025,0,0,0,1.34769494239789e-07
181,30,3.000000000000001,4.166666666666667e-05,0.0025,0,0,0,2.9455816316074682e-08
182,31,3.100000000000001,4.166666666666667e-05,0.0025,0,0,0,-5.539711801677923e-08
183,32,3.200000000000002,4.166666666666667e-05,0.0025,0,0,0,-1.106452014661489e-07
184,33,3.300000000000002,4.166666666666667e-05,0.0025,0,0,0,-1.478191390077857e-07
185,34,3.400000000000002,4.166666666666667e-05,0.0025,0,0,0,-1.743892803632062e-07
186,35,3.500000000000002,4.166666666666667e-05,0.0025,0,0,0,-1.944882154556148e-07
187,36,3.600000000000002,4.166666666666667e-05,0.0025,0,0,0,-2.104591397255949e-07
188,37,3.700000000000002,4.166666666666667e-05,0.0025,0,0,0,-2.237015322780951e-07
189,38,3.800000000000002,4.166666666666667e-05,0.0025,0,0,0,-2.350941442612507e-07
190,39,3.900000000000002,4.166666666666667e-05,0.0025,0,0,0,-2.452053129007961e-07
191,40,4.000000000000002,4.166666666666667e-05,0.0025,0,0,0,-2.54419564156582e-07
192,41,4.100000000000001,4.166666666666667e-05,0.0025,0,0,0,-2.629957996073683e-07
193,42,4.200000000000001,4.166666666666667e-05,0.0025,0,0,0,-2.711180959604514e-07
194,43,4.300000000000001,4.166666666666667e-05,0.0025,0,0,0,-2.789206361551582e-07
195,44,4.4,4.166666666666667e-05,0.0025,0,0,0,-2.864993104989231e-07
196,45,4.5,4.166666666666667e-05,0.0025,0,0,0,-2.939285993145879e-07
197,46,4.6,4.166666666666667e-05,0.0025,0,0,0,-3.012661115493518e-07
198,47,4.699999999999999,4.166666666666667e-05,0.0025,0,0,0,-3.085572905373053e-07
199,48,4.799999999999999,4.166666666666667e-05,0.0025,0,0,0,-3.158392188485698e-07
200,49,4.899999999999999,4.166666666666667e-05,0.0025,0,0,0,-3.231433173329958e-07
201,50,4.999999999999998,4.166666666666667e-05,0.0025,0,0,0,-3.304933970808068e-07
202,51,5.099999999999998,4.166666666666667e-05,0.0025,0,0,0,-3.379143550900543e-07
203,52,5.199999999999998,4.166666666666667e-05,0.0025,0,0,0,-3.454251923913696e-07
204,53,5.299999999999997,4.166666666666667e-05,0.0025,0,0,0,-3.530439707529375e-07
