,Step,Time,xj,yj,zj,Jx,Jy,Jz
0,0,0.0,1e-05,0,0,0,0,0.0
1,1,0.1,1e-05,0,0,0,0,-9.409294127167069e-26
2,2,0.2,1e-05,0,0,0,0,-1.906692948256909e-25
3,3,0.3,1e-05,0,0,0,0,-2.902072865712878e-25
4,4,0.4,1e-05,0,0,0,0,-3.9305656836637137e-25
5,5,0.5,1e-05,0,0,0,0,-4.99627131459428e-25
6,6,0.6,1e-05,0,0,0,0,-6.087865482928625e-25
7,7,0.7,1e-05,0,0,0,0,-7.091897128777743e-25
8,8,0.7999999999999999,1e-05,0,0,0,0,-7.6984624934754905e-25
9,9,0.8999999999999999,1e-05,0,0,0,0,-7.526884316063503e-25
10,10,1.0,1e-05,0,0,0,0,-6.3344130441204905e-25
11,11,1.1,1e-05,0,0,0,0,-4.076416492323675e-25
12,12,1.2,1e-05,0,0,0,0,-8.707236993135096e-26
13,13,1.3,1e-05,0,0,0,0,3.129886321058325e-25
14,14,1.4,1e-05,0,0,0,0,7.599576050949367e-25
15,15,1.5,1e-05,0,0,0,0,1.203676197576319e-24
16,16,1.6,1e-05,0,0,0,0,1.540261750411982e-24
17,17,1.7,1e-05,0,0,0,0,1.6602330808687843e-24
18,18,1.8,1e-05,0,0,0,0,1.3176509512585031e-24
19,19,1.900000000000001,1e-05,0,0,0,0,5.1359909840132e-25
20,20,2.0,1e-05,0,0,0,0,-1.0437230081584971e-24
21,21,2.100000000000001,1e-05,0,0,0,0,-3.000055522553069e-24
22,22,2.200000000000001,1e-05,0,0,0,0,-5.388846816073646e-24
23,23,2.300000000000001,1e-05,0,0,0,0,-7.617540632766753e-24
24,24,2.400000000000001,1e-05,0,0,0,0,-9.368998019452234e-24
25,25,2.500000000000001,1e-05,0,0,0,0,-9.280651408123936e-24
26,26,2.600000000000001,1e-05,0,0,0,0,-8.175201786015659e-24
27,27,2.700000000000001,1e-05,0,0,0,0,-5.85869342334381e-24
28,28,2.800000000000001,1e-05,0,0,0,0,-2.79254847546163e-24
29,29,2.900000000000001,1e-05,0,0,0,0,5.191556521053432e-25
30,30,3.000000000000001,1e-05,0,0,0,0,-6.4156906297932244e-24
31,31,3.100000000000001,1e-05,0,0,0,0,-1.0427251338575021e-23
32,32,3.200000000000002,1e-05,0,0,0,0,-1.216238070757595e-23
33,33,3.300000000000002,1e-05,0,0,0,0,-1.321424229272227e-23
34,34,3.400000000000002,1e-05,0,0,0,0,-1.414367328242058e-23
35,35,3.500000000000002,1e-05,0,0,0,0,-1.519879918107615e-23
36,36,3.600000000000002,1e-05,0,0,0,0,-1.646786756821673e-23
37,37,3.700000000000002,1e-05,0,0,0,0,-1.7935057196835222e-23
38,38,3.800000000000002,1e-05,0,0,0,0,-1.9535882211639832e-23
39,39,3.900000000000002,1e-05,0,0,0,0,-2.119779149451903e-23
40,40,4.000000000000002,1e-05,0,0,0,0,-2.286005588326935e-23
41,41,4.100000000000001,1e-05,0,0,0,0,-2.447911188164304e-23
42,42,4.200000000000001,1e-05,0,0,0,0,-2.602730210294329e-23
43,43,4.300000000000001,1e-05,0,0,0,0,-2.748934624526012e-23
44,44,4.4,1e-05,0,0,0,0,-2.885884348949816e-23
45,45,4.5,1e-05,0,0,0,0,-3.0135501072887e-23
46,46,4.6,1e-05,0,0,0,0,-3.132295399234654e-23
47,47,4.699999999999999,1e-05,0,0,0,0,-3.242723500765853e-23
48,48,4.799999999999999,1e-05,0,0,0,0,-3.3455707355977e-23
49,49,4.899999999999999,1e-05,0,0,0,0,-3.4416274016933653e-23
50,50,4.999999999999998,1e-05,0,0,0,0,-3.531676955888208e-23
51,51,5.099999999999998,1e-05,0,0,0,0,-3.61646829956398e-23
52,52,5.199999999999998,1e-05,0,0,0,0,-3.696665520790537e-23
53,53,5.299999999999997,1e-05,0,0,0,0,-3.772797868381598e-23
54,54,5.399999999999997,1e-05,0,0,0,0,-3.845110626795113e-23
55,55,5.499999999999996,1e-05,0,0,0,0,-3.913915527341079e-23
56,56,5.599999999999996,1e-05,0,0,0,0,-3.979865804476139e-23
57,57,5.699999999999996,1e-05,0,0,0,0,-4.044025346113896e-23
58,58,5.799999999999995,1e-05,0,0,0,0,-4.1070507945590074e-23
59,59,5.899999999999995,1e-05,0,0,0,0,-4.169179554891733e-23
60,60,5.999999999999995,1e-05,0,0,0,0,-4.231654105994709e-23
61,61,6.099999999999994,1e-05,0,0,0,0,-4.295898212498669e-23
62,62,6.199999999999994,1e-05,0,0,0,0,-4.3614781994522683e-23
63,63,6.299999999999994,1e-05,0,0,0,0,-4.42758457007806e-23
64,64,6.399999999999993,1e-05,0,0,0,0,-4.495530374461939e-23
65,65,6.499999999999993,1e-05,0,0,0,0,-4.565693489566273e-23
66,66,6.599999999999993,1e-05,0,0,0,0,-4.6398729630368713e-23
67,67,6.699999999999992,1e-05,0,0,0,0,-4.723753138802835e-23
68,68,6.799999999999992,1e-05,0,0,0,0,-4.813086657888393e-23
69,69,6.899999999999991,1e-05,0,0,0,0,-4.909760147039761e-23
70,70,6.999999999999991,1e-05,0,0,0,0,-5.023493631506284e-23
71,71,7.099999999999991,1e-05,0,0,0,0,-5.1499976537182614e-23
72,72,7.19999999999999,1e-05,0,0,0,0,-5.284189421769753e-23
73,73,7.29999999999999,1e-05,0,0,0,0,-5.436309964430169e-23
74,74,7.39999999999999,1e-05,0,0,0,0,-5.609388620536226e-23
75,75,7.499999999999989,1e-05,0,0,0,0,-5.788944293017898e-23
76,76,7.599999999999989,1e-05,0,0,0,0,-5.95118797628921e-23
77,77,7.699999999999989,1e-05,0,0,0,0,-6.084835494710885e-23
78,78,7.799999999999988,1e-05,0,0,0,0,-6.206188333035623e-23
79,79,7.899999999999988,1e-05,0,0,0,0,-6.314462108361137e-23
80,80,7.999999999999988,1e-05,0,0,0,0,-6.36442875670351e-23
81,81,8.099999999999987,1e-05,0,0,0,0,-6.329302567066688e-23
82,82,8.199999999999987,1e-05,0,0,0,0,-6.243393742857089e-23
83,83,8.299999999999986,1e-05,0,0,0,0,-6.221863091231145e-23
84,84,8.399999999999986,1e-05,0,0,0,0,-6.512928961787118e-23
85,85,8.499999999999986,1e-05,0,0,0,0,-6.9856195817966e-23
86,86,8.599999999999985,1e-05,0,0,0,0,-7.489303977802215e-23
87,87,8.699999999999985,1e-05,0,0,0,0,-7.128298025422788e-23
88,88,8.799999999999985,1e-05,0,0,0,0,-5.750399937343038e-23
89,89,8.899999999999984,1e-05,0,0,0,0,-4.9666892031100003e-23
90,90,8.999999999999984,1e-05,0,0,0,0,-4.487791841052658e-23
91,91,9.099999999999984,1e-05,0,0,0,0,-3.6447660743896283e-23
92,92,9.199999999999983,1e-05,0,0,0,0,-2.410442271921183e-23
93,93,9.299999999999985,1e-05,0,0,0,0,-1.333460361097924e-23
94,94,9.399999999999984,1e-05,0,0,0,0,-5.347279411763344e-24
95,95,9.499999999999982,1e-05,0,0,0,0,3.063839490877072e-25
96,96,9.599999999999982,1e-05,0,0,0,0,4.323551946075584e-24
97,97,9.699999999999982,1e-05,0,0,0,0,7.265262227310949e-24
98,98,9.79999999999998,1e-05,0,0,0,0,9.509170536588852e-24
99,99,9.89999999999998,1e-05,0,0,0,0,1.12937456589044e-23
100,100,9.99999999999998,1e-05,0,0,0,0,1.2767735579489681e-23
101,101,10.09999999999998,1e-05,0,0,0,0,1.402507663620449e-23
102,102,10.19999999999998,1e-05,0,0,0,0,1.512664628985166e-23
103,103,10.29999999999998,1e-05,0,0,0,0,1.6113084941995e-23
104,104,10.39999999999998,1e-05,0,0,0,0,1.7012373111622262e-23
105,105,10.49999999999998,1e-05,0,0,0,0,1.784443324860041e-23
106,106,10.59999999999998,1e-05,0,0,0,0,1.862389160792002e-23
107,107,10.69999999999998,1e-05,0,0,0,0,1.9361804227102432e-23
108,108,10.79999999999998,1e-05,0,0,0,0,2.006681969859911e-23
109,109,10.89999999999998,1e-05,0,0,0,0,2.074588288280876e-23
110,110,10.99999999999998,1e-05,0,0,0,0,2.140473114143874e-23
111,111,11.09999999999998,1e-05,0,0,0,0,2.2048325505861112e-23
112,112,11.19999999999998,1e-05,0,0,0,0,2.268051440455771e-23
113,113,11.29999999999998,1e-05,0,0,0,0,2.330354078956172e-23
114,114,11.39999999999998,1e-05,0,0,0,0,2.391744677426469e-23
115,115,11.49999999999998,1e-05,0,0,0,0,2.452006397962414e-23
116,116,11.59999999999997,1e-05,0,0,0,0,2.511399860624941e-23
117,117,11.69999999999997,1e-05,0,0,0,0,2.570561675123636e-23
118,118,11.79999999999997,1e-05,0,0,0,0,2.630271693707115e-23
119,119,11.89999999999997,1e-05,0,0,0,0,2.6905798261290423e-23
120,120,11.99999999999997,1e-05,0,0,0,0,2.752194039904584e-23
121,121,12.09999999999997,1e-05,0,0,0,0,2.81660741832895e-23
122,122,12.19999999999997,1e-05,0,0,0,0,2.88376616651362e-23
123,123,12.29999999999997,1e-05,0,0,0,0,2.9525920745048264e-23
124,124,12.39999999999997,1e-05,0,0,0,0,3.023602895950529e-23
