,Step,Time,xb,yb,zb,Bx,By,Bz
0,0,0.0,1e-05,0.007,0,0.0,0.0,0
1,1,0.1,1e-05,0.007,0,-0.0008380250262422,0.0116189128374827,0
2,2,0.2,1e-05,0.007,0,-0.0017089305794577,0.0237638382116461,0
3,3,0.3,1e-05,0.007,0,-0.0026085963936519,0.0364414207668714,0
4,4,0.4,1e-05,0.007,0,-0.0035300704401667,0.0496130795559746,0
5,5,0.5,1e-05,0.007,0,-0.0044666718037408,0.0632268087472975,0
6,6,0.6,1e-05,0.007,0,-0.0054124214873028,0.0772233369967993,0
7,7,0.7,1e-05,0.007,0,-0.0063611181162291,0.0915282114114112,0
8,8,0.7999999999999999,1e-05,0.007,0,-0.0073062597019528,0.1060539197359549,0
9,9,0.8999999999999999,1e-05,0.007,0,-0.0082413187828966,0.1207153444129786,0
10,10,1.0,1e-05,0.007,0,-0.0091596776496033,0.13541092509869,0
11,11,1.1,1e-05,0.007,0,-0.01005464146775,0.1500357349059468,0
12,12,1.2,1e-05,0.007,0,-0.0109196124386277,0.1644809180476419,0
13,13,1.3,1e-05,0.007,0,-0.0117489241275276,0.1786259696144816,0
14,14,1.4,1e-05,0.007,0,-0.0125361404993748,0.1923523054753775,0
15,15,1.5,1e-05,0.007,0,-0.013276467494578,0.2055342743155424,0
16,16,1.6,1e-05,0.007,0,-0.0139646436586632,0.2180527432015506,0
17,17,1.7,1e-05,0.007,0,-0.0145954648165594,0.2297904107497478,0
18,18,1.8,1e-05,0.007,0,-0.0151654673753925,0.2406301317023554,0
19,19,1.900000000000001,1e-05,0.007,0,-0.0156712234939275,0.2504689211909721,0
20,20,2.0,1e-05,0.007,0,-0.0161098884523555,0.2592089974813114,0
21,21,2.100000000000001,1e-05,0.007,0,-0.0164786581318677,0.2667691190336517,0
22,22,2.200000000000001,1e-05,0.007,0,-0.0167755086443331,0.2730866413143673,0
23,23,2.300000000000001,1e-05,0.007,0,-0.0169995907590327,0.2781119953540827,0
24,24,2.400000000000001,1e-05,0.007,0,-0.0171507704720339,0.2818166367981779,0
25,25,2.500000000000001,1e-05,0.007,0,-0.0172295738014666,0.2841996225755019,0
26,26,2.600000000000001,1e-05,0.007,0,-0.0172374724631466,0.2852902765140995,0
27,27,2.700000000000001,1e-05,0.007,0,-0.0171773322382592,0.2851534313314271,0
28,28,2.800000000000001,1e-05,0.007,0,-0.017055045984104,0.2839153958038395,0
29,29,2.900000000000001,1e-05,0.007,0,-0.0168765015713448,0.2817099835352764,0
30,30,3.000000000000001,1e-05,0.007,0,-0.0166451809727994,0.2786361194591644,0
31,31,3.100000000000001,1e-05,0.007,0,-0.0163623536680306,0.2747601125282562,0
32,32,3.200000000000002,1e-05,0.007,0,-0.0160296502579666,0.2701506306943937,0
33,33,3.300000000000002,1e-05,0.007,0,-0.015646938220702,0.2648318764138253,0
34,34,3.400000000000002,1e-05,0.007,0,-0.0152142140817946,0.2588116922543393,0
35,35,3.500000000000002,1e-05,0.007,0,-0.0147311916467045,0.2520862775556735,0
36,36,3.600000000000002,1e-05,0.007,0,-0.014198434519967,0.2446610552742593,0
37,37,3.700000000000002,1e-05,0.007,0,-0.0136160937150484,0.2365339279646842,0
38,38,3.800000000000002,1e-05,0.007,0,-0.0129843689560038,0.2277004317193086,0
39,39,3.900000000000002,1e-05,0.007,0,-0.0123035753550269,0.2181547703915333,0
40,40,4.000000000000002,1e-05,0.007,0,-0.0115747008317892,0.2078974286017858,0
41,41,4.100000000000001,1e-05,0.007,0,-0.01079880792568,0.1969263685579988,0
42,42,4.200000000000001,1e-05,0.007,0,-0.0099777701772912,0.1852496179441536,0
43,43,4.300000000000001,1e-05,0.007,0,-0.0091132103141565,0.1728692069448015,0
44,44,4.4,1e-05,0.007,0,-0.0082076727539374,0.1597980806385312,0
45,45,4.5,1e-05,0.007,0,-0.0072637588009357,0.1460491626938724,0
46,46,4.6,1e-05,0.007,0,-0.0062847062686285,0.1316451014754762,0
47,47,4.699999999999999,1e-05,0.007,0,-0.0052739891557275,0.116611133844993,0
48,48,4.799999999999999,1e-05,0.007,0,-0.0042348411874646,0.1009715508151307,0
49,49,4.899999999999999,1e-05,0.007,0,-0.0031714138940431,0.0847760440744787,0
50,50,4.999999999999998,1e-05,0.007,0,-0.0020881412928969,0.0680611126802762,0
51,51,5.099999999999998,1e-05,0.007,0,-0.0009892487015244,0.0508788116589156,0
52,52,5.199999999999998,1e-05,0.007,0,0.0001206071302157,0.0332954929267971,0
53,53,5.299999999999997,1e-05,0.007,0,0.001236319980905,0.0153598415953292,0
54,54,5.399999999999997,1e-05,0.007,0,0.0023522755307043,-0.002858680503926,0
55,55,5.499999999999996,1e-05,0.007,0,0.0034647464836882,-0.021272893374893,0
56,56,5.599999999999996,1e-05,0.007,0,0.0045659852857002,-0.0398107411971701,0
57,57,5.699999999999996,1e-05,0.007,0,0.0056519869875689,-0.0583677550213038,0
58,58,5.799999999999995,1e-05,0.007,0,0.006716848481611,-0.0768610495980019,0
59,59,5.899999999999995,1e-05,0.007,0,0.0077548632014314,-0.0951875608071467,0
60,60,5.999999999999995,1e-05,0.007,0,0.0087619822014284,-0.1132390453741323,0
61,61,6.099999999999994,1e-05,0.007,0,0.0097337741897464,-0.130902517618454,0
62,62,6.199999999999994,1e-05,0.007,0,0.0106613938844685,-0.1480869189697508,0
63,63,6.299999999999994,1e-05,0.007,0,0.0115426337649501,-0.1646778874503864,0
64,64,6.399999999999993,1e-05,0.007,0,0.0123732490781736,-0.1805501930417217,0
65,65,6.499999999999993,1e-05,0.007,0,0.0131488921143031,-0.1956096655814185,0
66,66,6.599999999999993,1e-05,0.007,0,0.0138658381951694,-0.2097437028721055,0
67,67,6.699999999999992,1e-05,0.007,0,0.0145196368156858,-0.2228598089510954,0
68,68,6.799999999999992,1e-05,0.007,0,0.015106819656353,-0.2348700172166222,0
69,69,6.899999999999991,1e-05,0.007,0,0.0156252025426627,-0.2456916771598165,0
70,70,6.999999999999991,1e-05,0.007,0,0.0160731677339398,-0.2552400741781243,0
71,71,7.099999999999991,1e-05,0.007,0,0.0164491324480223,-0.263456039229716,0
72,72,7.19999999999999,1e-05,0.007,0,0.0167516284183602,-0.2703000073332703,0
73,73,7.29999999999999,1e-05,0.007,0,0.0169800192380822,-0.2757443475032219,0
74,74,7.39999999999999,1e-05,0.007,0,0.017134350039063,-0.2797762452450361,0
75,75,7.499999999999989,1e-05,0.007,0,0.0172154223201412,-0.2824090889902868,0
76,76,7.599999999999989,1e-05,0.007,0,0.017224875525395,-0.2836850828276609,0
77,77,7.699999999999989,1e-05,0.007,0,0.017165669066582,-0.2836805546468533,0
78,78,7.799999999999988,1e-05,0.007,0,0.0170437207766042,-0.282531074092522,0
79,79,7.899999999999988,1e-05,0.007,0,0.0168652413076705,-0.2803829563182056,0
80,80,7.999999999999988,1e-05,0.007,0,0.0166338911107204,-0.2773434557286534,0
81,81,8.099999999999987,1e-05,0.007,0,0.01635093959292,-0.2734832109868969,0
82,82,8.199999999999987,1e-05,0.007,0,0.016018131484852,-0.2688779840693116,0
83,83,8.299999999999986,1e-05,0.007,0,0.0156354641563722,-0.263560787689693,0
84,84,8.399999999999986,1e-05,0.007,0,0.0152028439305021,-0.2575417732349976,0
85,85,8.499999999999986,1e-05,0.007,0,0.0147200434636257,-0.2508191386090511,0
86,86,8.599999999999985,1e-05,0.007,0,0.0141875259694469,-0.2433971340189716,0
87,87,8.699999999999985,1e-05,0.007,0,0.013605563293194,-0.2352756418550543,0
88,88,8.799999999999985,1e-05,0.007,0,0.0129743346517553,-0.2264503316404276,0
89,89,8.899999999999984,1e-05,0.007,0,0.0122940854094867,-0.2169146382299451,0
90,90,8.999999999999984,1e-05,0.007,0,0.01156578763912,-0.2066691653340252,0
91,91,9.099999999999984,1e-05,0.007,0,0.0107905158304701,-0.1957126225541745,0
