,Step,Time,xb,yb,zb,Bx,By,Bz
0,0,0.0,1e-05,0.005,0,0.0,0.0,0
1,1,0.1,1e-05,0.005,0,-0.0001837718695761,-0.0002035818496635,0
2,2,0.2,1e-05,0.005,0,-0.0003701569429866,-0.0004100586191973,0
3,3,0.3,1e-05,0.005,0,-0.0005596619575214,-0.0006199916802721,0
4,4,0.4,1e-05,0.005,0,-0.0007525822903215,-0.0008337082624643,0
5,5,0.5,1e-05,0.005,0,-0.000948948697697,-0.0010512424522817,0
6,6,0.6,1e-05,0.005,0,-0.0011490365881316,-0.0012728993705267,0
7,7,0.7,1e-05,0.005,0,-0.0013531044567365,-0.0014989654087707,0
8,8,0.7999999999999999,1e-05,0.005,0,-0.0015612679422734,-0.0017295687094843,0
9,9,0.8999999999999999,1e-05,0.005,0,-0.0017737478164471,-0.0019649538900285,0
10,10,1.0,1e-05,0.005,0,-0.0019905792089941,-0.0022051599250936,0
11,11,1.1,1e-05,0.005,0,-0.0022120893156488,-0.0024505493594106,0
12,12,1.2,1e-05,0.005,0,-0.0024384676174605,-0.0027013321963508,0
13,13,1.3,1e-05,0.005,0,-0.0026698542284521,-0.0029576637726684,0
14,14,1.4,1e-05,0.005,0,-0.0029065773635639,-0.003219907830034,0
15,15,1.5,1e-05,0.005,0,-0.0031488073224072,-0.0034882532082521,0
16,16,1.6,1e-05,0.005,0,-0.0033968021414691,-0.0037629859711861,0
17,17,1.7,1e-05,0.005,0,-0.003650866503728,-0.0040444439284514,0
18,18,1.8,1e-05,0.005,0,-0.0039112054142514,-0.0043328544182036,0
19,19,1.900000000000001,1e-05,0.005,0,-0.0041780898646421,-0.004628518034346,0
20,20,2.0,1e-05,0.005,0,-0.0044518932598268,-0.0049318489435598,0
21,21,2.100000000000001,1e-05,0.005,0,-0.0047327750288659,-0.0052430239191367,0
22,22,2.200000000000001,1e-05,0.005,0,-0.0050209094507233,-0.0055622361576459,0
23,23,2.300000000000001,1e-05,0.005,0,-0.0053167732606932,-0.0058900144601113,0
24,24,2.400000000000001,1e-05,0.005,0,-0.005621289615244,-0.0062273823707262,0
25,25,2.500000000000001,1e-05,0.005,0,-0.00593450068955,-0.0065743863610646,0
26,26,2.600000000000001,1e-05,0.005,0,-0.0062565202231256,-0.0069311507448928,0
27,27,2.700000000000001,1e-05,0.005,0,-0.0065871664730864,-0.0072974707053093,0
28,28,2.800000000000001,1e-05,0.005,0,-0.0069267947624928,-0.0076737334338891,0
29,29,2.900000000000001,1e-05,0.005,0,-0.0072769501714254,-0.0080616402909734,0
30,30,3.000000000000001,1e-05,0.005,0,-0.0076391209383088,-0.0084628278120551,0
31,31,3.100000000000001,1e-05,0.005,0,-0.0080138238792843,-0.0088778613227925,0
32,32,3.200000000000002,1e-05,0.005,0,-0.0084017183849302,-0.0093074716807172,0
33,33,3.300000000000002,1e-05,0.005,0,-0.0088020805682286,-0.0097508578745524,0
34,34,3.400000000000002,1e-05,0.005,0,-0.0092138575944239,-0.0102068449251537,0
35,35,3.500000000000002,1e-05,0.005,0,-0.0096367163768667,-0.010675033300824,0
36,36,3.600000000000002,1e-05,0.005,0,-0.0100718772295422,-0.0111567002579448,0
37,37,3.700000000000002,1e-05,0.005,0,-0.0105208351820964,-0.0116533430310106,0
38,38,3.800000000000002,1e-05,0.005,0,-0.0109840762198478,-0.0121652091438475,0
39,39,3.900000000000002,1e-05,0.005,0,-0.0114630711920542,-0.0126934971467388,0
40,40,4.000000000000002,1e-05,0.005,0,-0.0119603459608858,-0.0132405432763024,0
41,41,4.100000000000001,1e-05,0.005,0,-0.0124802330330796,-0.0138108496998525,0
42,42,4.200000000000001,1e-05,0.005,0,-0.0130242339121834,-0.014406078538964,0
43,43,4.300000000000001,1e-05,0.005,0,-0.0135904005840151,-0.0150243235959925,0
44,44,4.4,1e-05,0.005,0,-0.0141757455236699,-0.0156626239976123,0
45,45,4.5,1e-05,0.005,0,-0.014778746096687,-0.016319597765583,0
46,46,4.6,1e-05,0.005,0,-0.0153987255965003,-0.0169947076425262,0
47,47,4.699999999999999,1e-05,0.005,0,-0.0160374781639542,-0.0176900520700293,0
48,48,4.799999999999999,1e-05,0.005,0,-0.0167000380369537,-0.0184112180630025,0
49,49,4.899999999999999,1e-05,0.005,0,-0.0173896774273843,-0.019161761223076,0
50,50,4.999999999999998,1e-05,0.005,0,-0.018105130855535,-0.0199401128890159,0
51,51,5.099999999999998,1e-05,0.005,0,-0.0181317026742499,-0.0199614236295229,0
52,52,5.199999999999998,1e-05,0.005,0,-0.0180555829252435,-0.0198720759035422,0
53,53,5.299999999999997,1e-05,0.005,0,-0.0179291427859794,-0.0197287380247904,0
54,54,5.399999999999997,1e-05,0.005,0,-0.0177747190228369,-0.0195554734886754,0
55,55,5.499999999999996,1e-05,0.005,0,-0.0176046663536571,-0.0193655848146796,0
56,56,5.599999999999996,1e-05,0.005,0,-0.0174256760407802,-0.0191662531075196,0
57,57,5.699999999999996,1e-05,0.005,0,-0.0172410042867495,-0.0189609396732468,0
58,58,5.799999999999995,1e-05,0.005,0,-0.0170530036124314,-0.0187521543857336,0
59,59,5.899999999999995,1e-05,0.005,0,-0.0168624836590558,-0.0185407295106687,0
60,60,5.999999999999995,1e-05,0.005,0,-0.0166697628166752,-0.0183269733599356,0
61,61,6.099999999999994,1e-05,0.005,0,-0.0164753318261684,-0.0181113984530265,0
62,62,6.199999999999994,1e-05,0.005,0,-0.0162792647066586,-0.0178940648739876,0
63,63,6.299999999999994,1e-05,0.005,0,-0.0160819929252916,-0.0176754350137575,0
64,64,6.399999999999993,1e-05,0.005,0,-0.0158829938903068,-0.0174549189604744,0
65,65,6.499999999999993,1e-05,0.005,0,-0.0156824021632172,-0.0172326579419434,0
66,66,6.599999999999993,1e-05,0.005,0,-0.0154805029587118,-0.0170089623230175,0
67,67,6.699999999999992,1e-05,0.005,0,-0.0152768489426247,-0.0167833325887984,0
68,68,6.799999999999992,1e-05,0.005,0,-0.0150715311354906,-0.0165558667520529,0
69,69,6.899999999999991,1e-05,0.005,0,-0.0148643595121248,-0.0163263522991209,0
70,70,6.999999999999991,1e-05,0.005,0,-0.0146552143482669,-0.0160946551718831,0
71,71,7.099999999999991,1e-05,0.005,0,-0.0144443444452783,-0.0158610499736226,0
72,72,7.19999999999999,1e-05,0.005,0,-0.0142316118342875,-0.0156253831356163,0
73,73,7.29999999999999,1e-05,0.005,0,-0.0140165774079152,-0.0153871676954484,0
74,74,7.39999999999999,1e-05,0.005,0,-0.0137994136232516,-0.015146594332555,0
75,75,7.499999999999989,1e-05,0.005,0,-0.0135803457420821,-0.0149039123292536,0
76,76,7.599999999999989,1e-05,0.005,0,-0.0133588869249479,-0.0146585821710802,0
77,77,7.699999999999989,1e-05,0.005,0,-0.0131351178804916,-0.0144106931425476,0
78,78,7.799999999999988,1e-05,0.005,0,-0.0129090686582234,-0.0141602784428426,0
79,79,7.899999999999988,1e-05,0.005,0,-0.0126805374580224,-0.0139071144519976,0
80,80,7.999999999999988,1e-05,0.005,0,-0.0124495446537592,-0.0136512237024044,0
81,81,8.099999999999987,1e-05,0.005,0,-0.0122161324535694,-0.0133926529337731,0
82,82,8.199999999999987,1e-05,0.005,0,-0.011979904036924,-0.0131309625380242,0
83,83,8.299999999999986,1e-05,0.005,0,-0.011740980674395,-0.0128662868771954,0
84,84,8.399999999999986,1e-05,0.005,0,-0.0114993430216785,-0.012598604517883,0
85,85,8.499999999999986,1e-05,0.005,0,-0.0112548480672678,-0.0123277570826862,0
86,86,8.599999999999985,1e-05,0.005,0,-0.0110074326557418,-0.0120536746375024,0
87,87,8.699999999999985,1e-05,0.005,0,-0.0107568567094357,-0.0117760912250081,0
88,88,8.799999999999985,1e-05,0.005,0,-0.0105033217958135,-0.0114952302558328,0
89,89,8.899999999999984,1e-05,0.005,0,-0.0102465453625226,-0.0112107787941395,0
90,90,8.999999999999984,1e-05,0.005,0,-0.0099865006177686,-0.0109227071371048,0
91,91,9.099999999999984,1e-05,0.005,0,-0.0097231699569491,-0.0106309958917629,0
92,92,9.199999999999983,1e-05,0.005,0,-0.0094562727675198,-0.0103353344552,0
93,93,9.299999999999985,1e-05,0.005,0,-0.0091859510541622,-0.0100358802578139,0
94,94,9.399999999999984,1e-05,0.005,0,-0.0089119351932533,-0.0097323345212468,0
95,95,9.499999999999982,1e-05,0.005,0,-0.0086340269666979,-0.0094244778160487,0
96,96,9.599999999999982,1e-05,0.005,0,-0.0083522337359881,-0.0091123187688494,0
97,97,9.699999999999982,1e-05,0.005,0,-0.0080666913584955,-0.0087960084064185,0
98,98,9.79999999999998,1e-05,0.005,0,-0.0077778465713402,-0.0084760419346743,0
