,Step,Time,xb,yb,zb,Bx,By,Bz
0,0,0.0,1e-05,0.005,0,0.0,0.0,0
1,1,0.1,1e-05,0.005,0,-0.0003077384744147,-0.0003409116429182,0
2,2,0.2,1e-05,0.005,0,-0.0006233608075493,-0.0006905570733717,0
3,3,0.3,1e-05,0.005,0,-0.0009482453194501,-0.0010504632437827,0
4,4,0.4,1e-05,0.005,0,-0.0012831643488167,-0.0014214858395141,0
5,5,0.5,1e-05,0.005,0,-0.0016289524570062,-0.001804549529488,0
6,6,0.6,1e-05,0.005,0,-0.0019863772231411,-0.0022005048409374,0
7,7,0.7,1e-05,0.005,0,-0.0023562977693332,-0.0026103038107961,0
8,8,0.7999999999999999,1e-05,0.005,0,-0.0027395296709933,-0.0030348503713706,0
9,9,0.8999999999999999,1e-05,0.005,0,-0.0031370838202225,-0.0034752650071293,0
10,10,1.0,1e-05,0.005,0,-0.0035501564565414,-0.0039328737750869,0
11,11,1.1,1e-05,0.005,0,-0.0039797062773458,-0.0044087398091484,0
12,12,1.2,1e-05,0.005,0,-0.00442695642454,-0.0049042196575301,0
13,13,1.3,1e-05,0.005,0,-0.0048931149064636,-0.0054206529580226,0
14,14,1.4,1e-05,0.005,0,-0.0053793454882095,-0.0059593302926886,0
15,15,1.5,1e-05,0.005,0,-0.0058882230504143,-0.0065231067136636,0
16,16,1.6,1e-05,0.005,0,-0.0064205375026351,-0.0071128542996656,0
17,17,1.7,1e-05,0.005,0,-0.006976484688889,-0.0077287751057357,0
18,18,1.8,1e-05,0.005,0,-0.0075602604412256,-0.0083754819911144,0
19,19,1.900000000000001,1e-05,0.005,0,-0.0081763562652179,-0.0090579096280673,0
20,20,2.0,1e-05,0.005,0,-0.0088269101674023,-0.0097784149733231,0
21,21,2.100000000000001,1e-05,0.005,0,-0.0095092609706017,-0.0105340246977024,0
22,22,2.200000000000001,1e-05,0.005,0,-0.0102234400963069,-0.0113246072821094,0
23,23,2.300000000000001,1e-05,0.005,0,-0.0109740051086788,-0.0121546176168565,0
24,24,2.400000000000001,1e-05,0.005,0,-0.0117656517131352,-0.0130278738867835,0
25,25,2.500000000000001,1e-05,0.005,0,-0.0126093066858944,-0.0139547927170594,0
26,26,2.600000000000001,1e-05,0.005,0,-0.0135140567194933,-0.014944890462223,0
27,27,2.700000000000001,1e-05,0.005,0,-0.01447433134333,-0.0159928451069368,0
28,28,2.800000000000001,1e-05,0.005,0,-0.015483601793191,-0.0170925726324031,0
29,29,2.900000000000001,1e-05,0.005,0,-0.0165440419987482,-0.0182472014897165,0
30,30,3.000000000000001,1e-05,0.005,0,-0.0176704786183268,-0.019473255834609,0
31,31,3.100000000000001,1e-05,0.005,0,-0.0175842738528224,-0.0193685437339209,0
32,32,3.200000000000002,1e-05,0.005,0,-0.0173556343502704,-0.0191108229627165,0
33,33,3.300000000000002,1e-05,0.005,0,-0.0170732581205808,-0.0187957279402667,0
34,34,3.400000000000002,1e-05,0.005,0,-0.0167694275147946,-0.018457934482601,0
35,35,3.500000000000002,1e-05,0.005,0,-0.0164556440866754,-0.0181096754977633,0
36,36,3.600000000000002,1e-05,0.005,0,-0.0161358372508872,-0.0177550457739916,0
37,37,3.700000000000002,1e-05,0.005,0,-0.015811199127749,-0.0173952281551067,0
38,38,3.800000000000002,1e-05,0.005,0,-0.0154828622194689,-0.0170314017578971,0
39,39,3.900000000000002,1e-05,0.005,0,-0.0151501298394278,-0.0166627535873013,0
40,40,4.000000000000002,1e-05,0.005,0,-0.0148135083634379,-0.0162898221140278,0
41,41,4.100000000000001,1e-05,0.005,0,-0.014472254158411,-0.0159117714955894,0
42,42,4.200000000000001,1e-05,0.005,0,-0.0141259329422709,-0.0155281142661917,0
43,43,4.300000000000001,1e-05,0.005,0,-0.0137747119550398,-0.0151390323714848,0
44,44,4.4,1e-05,0.005,0,-0.0134180286393509,-0.0147439008966931,0
45,45,4.5,1e-05,0.005,0,-0.0130556467626052,-0.0143424572605309,0
46,46,4.6,1e-05,0.005,0,-0.0126873250023676,-0.0139344336569314,0
47,47,4.699999999999999,1e-05,0.005,0,-0.0123127326583688,-0.0135194634873621,0
48,48,4.799999999999999,1e-05,0.005,0,-0.0119315652462783,-0.0130972092766238,0
49,49,4.899999999999999,1e-05,0.005,0,-0.0115438046720418,-0.0126676508645201,0
50,50,4.999999999999998,1e-05,0.005,0,-0.0111486253345867,-0.0122298735483132,0
51,51,5.099999999999998,1e-05,0.005,0,-0.0107461379643335,-0.0117839998746728,0
52,52,5.199999999999998,1e-05,0.005,0,-0.0103358534067929,-0.0113294878489211,0
53,53,5.299999999999997,1e-05,0.005,0,-0.0099172050757566,-0.0108657096213905,0
54,54,5.399999999999997,1e-05,0.005,0,-0.0094899326040499,-0.0103923766187741,0
55,55,5.499999999999996,1e-05,0.005,0,-0.0090538702833315,-0.0099093049650877,0
56,56,5.599999999999996,1e-05,0.005,0,-0.0086085170452679,-0.0094159397005751,0
57,57,5.699999999999996,1e-05,0.005,0,-0.0081534228838229,-0.0089117816014653,0
58,58,5.799999999999995,1e-05,0.005,0,-0.0076881128481856,-0.0083963043217284,0
59,59,5.899999999999995,1e-05,0.005,0,-0.0072128454559276,-0.0078697948859304,0
60,60,5.999999999999995,1e-05,0.005,0,-0.0067268939666825,-0.0073314473143873,0
61,61,6.099999999999994,1e-05,0.005,0,-0.0062285283505433,-0.0067793431961066,0
62,62,6.199999999999994,1e-05,0.005,0,-0.0057179381488739,-0.0062136934665918,0
63,63,6.299999999999994,1e-05,0.005,0,-0.0051955367692396,-0.0056349580014964,0
64,64,6.399999999999993,1e-05,0.005,0,-0.0046625461738681,-0.0050444911767342,0
65,65,6.499999999999993,1e-05,0.005,0,-0.004114821143716,-0.0044376970173045,0
66,66,6.599999999999993,1e-05,0.005,0,-0.0035505668869345,-0.0038125832848309,0
67,67,6.699999999999992,1e-05,0.005,0,-0.0029697366766492,-0.0031691010842057,0
68,68,6.799999999999992,1e-05,0.005,0,-0.0023732182406509,-0.0025082400760649,0
69,69,6.899999999999991,1e-05,0.005,0,-0.0017621723858225,-0.0018312949515639,0
70,70,6.999999999999991,1e-05,0.005,0,-0.0011367837772284,-0.001138486282966,0
71,71,7.099999999999991,1e-05,0.005,0,-0.0004886034784607,-0.0004204851204768,0
72,72,7.19999999999999,1e-05,0.005,0,0.000187931547792,0.0003288447462967,0
73,73,7.29999999999999,1e-05,0.005,0,0.0008891674402264,0.001105470959441,0
74,74,7.39999999999999,1e-05,0.005,0,0.0016111286277906,0.0019050197535991,0
75,75,7.499999999999989,1e-05,0.005,0,0.0023554483320655,0.0027293166709204,0
76,76,7.599999999999989,1e-05,0.005,0,0.0031220569834246,0.0035782658753021,0
77,77,7.699999999999989,1e-05,0.005,0,0.0039080366549703,0.0044485185777658,0
78,78,7.799999999999988,1e-05,0.005,0,0.0047147014028819,0.0053410831407514,0
79,79,7.899999999999988,1e-05,0.005,0,0.0055466291540961,0.0062597766920714,0
80,80,7.999999999999988,1e-05,0.005,0,0.0064208243418842,0.007221458751884,0
81,81,8.099999999999987,1e-05,0.005,0,0.0073478270765835,0.0082367838530562,0
82,82,8.199999999999987,1e-05,0.005,0,0.008319231631913,0.0092972948178702,0
83,83,8.299999999999986,1e-05,0.005,0,0.0093223691149341,0.0103904432747579,0
84,84,8.399999999999986,1e-05,0.005,0,0.0103549559609432,0.0115147166382614,0
85,85,8.499999999999986,1e-05,0.005,0,0.0114144314642869,0.0126678198273726,0
86,86,8.599999999999985,1e-05,0.005,0,0.0125022607773581,0.0138516208267668,0
87,87,8.699999999999985,1e-05,0.005,0,0.0136357412473872,0.0150852653855266,0
88,88,8.799999999999985,1e-05,0.005,0,0.0148217431527034,0.0163763237286965,0
89,89,8.899999999999984,1e-05,0.005,0,0.0160535319997848,0.0177173215613449,0
90,90,8.999999999999984,1e-05,0.005,0,0.0173207501703403,0.0190966939223061,0
91,91,9.099999999999984,1e-05,0.005,0,0.0172832863313774,0.0190450636186506,0
92,92,9.199999999999983,1e-05,0.005,0,0.0170755899748668,0.0188101641704479,0
93,93,9.299999999999985,1e-05,0.005,0,0.0168021220279539,0.0185047694622729,0
94,94,9.399999999999984,1e-05,0.005,0,0.0165016789469019,0.018170653281474,0
95,95,9.499999999999982,1e-05,0.005,0,0.0161892356608231,0.0178238457001553,0
96,96,9.599999999999982,1e-05,0.005,0,0.015870077125435,0.0174699205239139,0
